Produced: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:29:59 IST 2025
Consumed: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:29:59 IST 2025
Consumed: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:36:39 IST 2025
Produced: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:36:39 IST 2025
Consumed: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:37:10 IST 2025
Produced: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:37:10 IST 2025
Consumed: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:39:13 IST 2025
Produced: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:39:13 IST 2025
Produced: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:40:27 IST 2025
Consumed: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:40:27 IST 2025
Produced: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:43:39 IST 2025
Consumed: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:43:39 IST 2025
Produced: GroupID:groupId123, ParentGroupID:parentGroupId456, Operation:CREATE, Timestamp:Mon Feb 10 22:58:56 IST 2025
